Thu Feb 2 05:54:34 EST 2023
| ID | GPU | MEM |
------------------
|  0 |  0% |  0% |
|  1 |  0% |  0% |
numbers of X: 85745554
numbers of Z: 35096
shape of features
(35096,)
shape of features
(35096,)
ZX	Vol	Parts	Cubes	Eps
X	0.02481354264723929	9214	9.214	0.1391276731398271
X	0.024006676568584063	9293	9.293	0.1372119810800745
X	0.022926633491966327	3977	3.977	0.17930603170854031
X	0.022443365672685022	2689	2.689	0.20284566355568381
X	0.022967250050571084	11283	11.283	0.12673448475353488
X	0.022725735827058734	2132	2.132	0.22007814553887659
X	0.022832822645097575	3843	3.843	0.18111860850741163
X	0.023030755970353298	5149	5.149	0.16476378770848063
X	0.024446410642697154	5308	5.308	0.16637755179684927
X	0.02358010347657885	8970	8.97	0.13801228759971323
X	0.02284956939067684	4150	4.15	0.17658072994891547
X	0.02293963337515608	7705	7.705	0.1438593001489634
X	0.022924845933170443	6699	6.699	0.15069499067401923
X	0.024025361554477365	14571	14.571	0.11813906371003463
X	0.022654278997226523	3501	3.501	0.18634570098627382
X	0.02301021260189379	22157	22.157	0.10126745396332386
X	0.023659448370475657	100035	100.035	0.06184209772661677
X	0.023808923076689983	10341	10.341	0.13204614838363057
X	0.023514250351391805	10919	10.919	0.1291366226299951
X	0.022671852561956665	1924	1.924	0.2275589809818642
X	0.023312510149843244	10865	10.865	0.12897922682289992
X	0.024187463892196778	132693	132.693	0.05669970165183645
X	0.023840578819740228	540576	540.576	0.03533078972105798
X	0.022816141702704806	7323	7.323	0.14605543541368066
X	0.023816401540259883	245456	245.456	0.04595162038077489
X	0.023510927822705266	58518	58.518	0.07378930692655718
X	0.02402235907822054	86180	86.18	0.06532354144986134
X	0.02456751261696209	341275	341.275	0.0415992567129692
X	0.022794237770562487	4642	4.642	0.16997040634787253
X	0.024557530216969242	8718	8.718	0.14122858487915488
X	0.02410256841481836	455855	455.855	0.03753290681205874
X	0.024689043496866042	1000796	1000.796	0.02911071693426053
X	0.023950258702846342	9813	9.813	0.13463856369865243
X	0.024935332326932746	57263	57.263	0.07579612812789369
X	0.024889422729603594	37287	37.287	0.08739484042904463
X	0.02309835221286762	69219	69.219	0.06936151325156742
X	0.023418459910098503	123516	123.516	0.057448457280472855
X	0.024310520805896588	63069	63.069	0.07277676931619301
X	0.023047058325688263	65294	65.294	0.07067200435358795
X	0.022960021346385192	26099	26.099	0.09581852327673794
X	0.02305896840731196	7840	7.84	0.1432763812241373
X	0.024868683104509248	719038	719.038	0.03258119295139359
X	0.022868161581259552	15165	15.165	0.11467346774485188
X	0.02302701519398416	11255	11.255	0.12694941854757372
X	0.02295465550066089	80374	80.374	0.06585444069156278
X	0.024121850702240245	109966	109.966	0.060309269174578094
X	0.024634685291094513	401369	401.369	0.03944582685060553
X	0.02316328977289151	178825	178.825	0.05059691084907613
X	0.02287414030195016	3399	3.399	0.1887982098158888
X	0.023156756151811484	83218	83.218	0.06528601334353103
X	0.024488169321538064	20160	20.16	0.10669775064284877
X	0.022983190530132713	62639	62.639	0.07159046234497708
X	0.024560686104713736	105678	105.678	0.06148256388674857
X	0.02320916292563965	10933	10.933	0.12852078702285716
X	0.02344132382916065	118396	118.396	0.05828386829543089
X	0.022786243904603952	1942	1.942	0.22723462367049382
X	0.024186535483095347	14058	14.058	0.11982571844890832
X	0.024476954746916663	223654	223.654	0.0478329212648958
X	0.02296085520701684	103322	103.322	0.060571047628972016
X	0.02341487309636593	116841	116.841	0.05851926296817367
X	0.023069747919353265	19733	19.733	0.10534564286255331
X	0.024541011453887828	438896	438.896	0.038239330365192704
X	0.023031877403915855	25950	25.95	0.0961016090753699
X	0.023070390669694765	44212	44.212	0.08050785625448792
X	0.02303485690079586	145927	145.927	0.05404430730626218
X	0.023185086620387353	8126	8.126	0.14183300410319277
X	0.023062196234251774	241950	241.95	0.045679886089161334
X	0.02477228222842666	487482	487.482	0.03703984366688045
X	0.024712841498126005	653387	653.387	0.033567376374179975
X	0.02408074124388964	64485	64.485	0.07201180812385424
X	0.0229261747923788	61934	61.934	0.07180160569925219
X	0.02283717028967497	26558	26.558	0.09509309323635148
X	0.02281804944584117	10407	10.407	0.12991251410430826
X	0.0235577814066031	92265	92.265	0.06344038362715697
X	0.02427285774851288	17848	17.848	0.11079252268860744
X	0.022998691136002395	43606	43.606	0.08079521174526387
X	0.02309936486840828	66490	66.49	0.07029879842803957
X	0.02303813563229162	57489	57.489	0.07372603172769812
X	0.02260707004713255	24364	24.364	0.09753606484252264
X	0.02479280871908865	14120	14.12	0.12064157851382946
X	0.022994944098110582	195586	195.586	0.04898895751302591
X	0.022989450417752858	20811	20.811	0.10337413296570189
X	0.023193063097100564	26506	26.506	0.0956469895392919
X	0.024645149632265072	25080	25.08	0.09941867612695346
X	0.024585570479002398	936504	936.504	0.02972055289883453
X	0.022935656150231742	40533	40.533	0.08271180024325876
X	0.024684816386460737	192941	192.941	0.05038892873038154
X	0.022905856072989096	13468	13.468	0.11936613720650205
X	0.024218469517135105	99301	99.301	0.062478561833890736
X	0.024675203549464043	21484	21.484	0.10472455736067462
X	0.024969037903473955	751805	751.805	0.03214392205502846
X	0.023312445808120155	73375	73.375	0.06823594991884006
X	0.022924497827312866	19400	19.4	0.10572216148740006
X	0.02357291767657674	220472	220.472	0.04746279388240409
X	0.02309201114747477	192633	192.633	0.04930720178531535
X	0.02294221644777783	21036	21.036	0.10293365723651916
X	0.023052426635053774	201987	201.987	0.04850625473936813
X	0.0244737277389564	240990	240.99	0.04665523352523279
X	0.02497046633086446	685449	685.449	0.03315002309280721
X	0.02438941918743961	58574	58.574	0.07467333108045414
X	0.02278748346350761	5699	5.699	0.15872033441406144
X	0.02309261197442002	32799	32.799	0.08896192089729868
X	0.02333248437642224	74665	74.665	0.06786012231184538
X	0.022904648396948283	67589	67.589	0.06971868752920533
X	0.023068046161758424	45465	45.465	0.07975866426231458
X	0.022830450257867264	4105	4.105	0.17717418284243378
X	0.023448739361285352	86111	86.111	0.06481670588802742
X	0.024711945008002605	234164	234.164	0.04725657768723049
X	0.022986007173143974	72179	72.179	0.06828902189370892
X	0.02291259940424349	14037	14.037	0.11774252744168577
X	0.023006880159650876	68158	68.158	0.06962741910293434
X	0.024180897056254234	25486	25.486	0.09826305067814427
X	0.024131714793812563	13081	13.081	0.12264478307318968
X	0.02297055031808541	21733	21.733	0.10186318233974237
X	0.02304215961983352	12065	12.065	0.12406957222630384
X	0.023340597555668523	98797	98.797	0.06181910849354057
X	0.023581891893738483	81472	81.472	0.06614902116849618
X	0.02384610274214741	31085	31.085	0.09154237584505799
X	0.024507925837950563	63457	63.457	0.0728241918190451
X	0.02293325807772384	23922	23.922	0.09860284005885092
X	0.02493862285258957	940800	940.8	0.029816618336540132
X	0.02301532505356512	22940	22.94	0.1001093326920237
X	0.023380687595369577	237648	237.648	0.04616445418163887
X	0.022715433671308193	2850	2.85	0.19975242368937488
X	0.022966354571944906	9200	9.2	0.13565466900972695
X	0.024009229805205416	7438	7.438	0.1477885148370168
X	0.023004459105384584	27543	27.543	0.09417455890684975
X	0.024928556154980366	10673	10.673	0.13267941212668016
X	0.024201119309819316	189158	189.158	0.05038913615133957
X	0.023376513084463705	11692	11.692	0.1259786571485375
X	0.02440593357907178	9008	9.008	0.13940842344343377
X	0.02483893933953828	491852	491.852	0.036962913990384975
X	0.023452855390907867	93118	93.118	0.06315203678949825
X	0.024562513427476777	79750	79.75	0.06753268823899143
X	0.024811597954231924	262230	262.23	0.04556773620202816
X	0.024854531709663584	534835	534.835	0.03595245805538204
X	0.023048426426391436	9879	9.879	0.13263030397327444
X	0.022995168693076443	19057	19.057	0.1064618532585231
X	0.023033459707099753	50156	50.156	0.07715168707958606
X	0.022809421718306244	3880	3.88	0.18047934926622117
X	0.024624522882413447	11656	11.656	0.12831362129665255
X	0.02293254178020937	33198	33.198	0.0883988789821659
X	0.022854137268051553	5034	5.034	0.16558355664851201
X	0.02345062249149661	11803	11.803	0.12571506457059162
X	0.02331314577194985	24135	24.135	0.0988517871482307
X	0.022967375085854478	11178	11.178	0.12713030412263107
X	0.024643863120604324	616579	616.579	0.03419059717622099
X	0.02292463093078297	23459	23.459	0.09923486558592913
X	0.02297105870210693	133882	133.882	0.05556733987941846
X	0.024164093876654916	10586	10.586	0.13166778860655054
X	0.02367836824042638	31584	31.584	0.09084371367193879
X	0.024441813942355263	158869	158.869	0.0535835427219484
X	0.024927400413735895	1031678	1031.678	0.028909745831196012
X	0.024096911962919285	1040635	1040.635	0.028502808446439914
X	0.023015666845813815	42858	42.858	0.08128253143246965
X	0.02419239281464305	150869	150.869	0.0543283194706917
X	0.022966535105890636	5146	5.146	0.164642479982597
X	0.02290374126162564	59359	59.359	0.07280143686988043
X	0.022998720526164453	97786	97.786	0.06172707028803858
X	0.02433846990516573	51260	51.26	0.07801382228263094
X	0.02293408857797886	22568	22.568	0.10053782156911362
X	0.023959519047341383	130163	130.163	0.05688488032707205
X	0.02467646461662562	1126595	1126.595	0.027979398453150495
X	0.02299528261538205	105555	105.555	0.06017091935236264
X	0.022858158976388408	15956	15.956	0.11272988753907484
X	0.02494577692964808	60706	60.706	0.07434557744192094
X	0.023442805860960574	22552	22.552	0.10129970393089929
X	0.02293473808524389	7336	7.336	0.14622158505907162
X	0.024666318513265405	237761	237.761	0.046988102289012804
X	0.022910304198392448	31407	31.407	0.09001912773191661
X	0.02310678408933338	5447	5.447	0.1618803160694897
X	0.02383041752588154	217372	217.372	0.04786036614564502
X	0.024666875181491202	22538	22.538	0.10305433232092215
X	0.022616671251962536	1644	1.644	0.2396122169530999
X	0.02452345252490949	248289	248.289	0.04622476489189754
X	0.02445388219783562	167538	167.538	0.05265159067585571
X	0.023700496045579864	171390	171.39	0.05171191874291594
X	0.02451102002100538	318047	318.047	0.04255559761504763
X	0.023461471146333148	282799	282.799	0.04361398707271657
X	0.022848709336603018	28163	28.163	0.09326690944440821
X	0.02417119022082276	81958	81.958	0.06656340983915715
X	0.02461386164797162	269793	269.793	0.045017671312234386
X	0.024618596345088256	278743	278.743	0.044533460055335865
X	0.023030521487647497	30059	30.059	0.09150463250499274
X	0.024553947692376087	108328	108.328	0.060971498253958006
X	0.024504521231102555	254898	254.898	0.04580996197315768
X	0.024683991990122757	202366	202.366	0.04959363596151161
X	0.023783472414355158	104289	104.289	0.06109592621316489
X	0.023351718653983913	67928	67.928	0.07005245189446896
X	0.022997994260045663	23783	23.783	0.09888743418128233
X	0.023232870619612274	17046	17.046	0.11087325472788125
X	0.02300413756567998	12809	12.809	0.12155241079551626
X	0.024479548555939656	264312	264.312	0.045244123011935235
X	0.02346321397978345	181934	181.934	0.0505232420347251
X	0.02386722568526625	650212	650.212	0.03323397736941714
X	0.024679197919568095	278891	278.891	0.04456208613900119
X	0.024546152082404713	126948	126.948	0.05782547192692765
X	0.022799675973549816	26321	26.321	0.09532542785928054
X	0.02367266604831357	208276	208.276	0.048439834173431354
X	0.024465797257524756	8703	8.703	0.14113350579584746
X	0.02294905686548037	24703	24.703	0.0975749598476315
X	0.024804195901161865	332274	332.274	0.042105897704925406
X	0.023441503478544796	76644	76.644	0.06737556707838689
X	0.022712533440240115	6996	6.996	0.1480716535609596
X	0.023060504697175622	22377	22.377	0.1010079713241564
X	0.024612410861205664	294749	294.749	0.043708637826806986
X	0.022868948376319906	40972	40.972	0.08233535139793413
X	0.024082727493902795	223909	223.909	0.04755666307329748
X	0.022874120410803327	22412	22.412	0.1006826403976734
X	0.02294041707812585	21629	21.629	0.10198155340752862
X	0.024523184859770456	10968	10.968	0.13076247840557786
X	0.02352163921872467	6577	6.577	0.15292550177500494
X	0.024631058337981356	132212	132.212	0.057113319058451885
X	0.022966799694056347	147957	147.957	0.0537429690185781
X	0.02281908617888011	8042	8.042	0.1415722257411787
X	0.023314961221005823	226225	226.225	0.0468847243343183
X	0.022983946220394822	21778	21.778	0.10181275774737239
X	0.02475041623962414	61963	61.963	0.07364614582850826
X	0.02279264251832108	11796	11.796	0.1245527454943982
